Jira,IssueId,EvoId,Summary,Description,VersionsAffected,IssueType,Project,Components,CreatedDate,ResolvedDate,Status,Priority,Creator,Reporter,Resolution,IssueLinks,Labels,VersionsFixed,Assignee,TimeSpent,Comments,SmellActual,SmellReason
Jira,642978,0,Correct HipChat Integration to JIRA for Pre- Version 7 documentation,,,Bug,Jira Server and Data Center,Documentation - All,2016-10-31T07:50:28.000+0000,2017-06-05T07:33:53.000+0000,Open,Low,Ismael Olusula Jimoh,Ismael Olusula Jimoh,,,,,Andrew Lui [Atlassian technical writer],,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,68 characters is in range.
Jira,284325,0,"As an Android developer, I would like to be able to use Repo from Stash in order to syncronize all of my project's Android dependencies","Add support for ""Repo"" in order to ease Android development workflow",,New Feature,Stash,,2013-07-03T18:19:06.000+0000,2016-04-11T23:29:37.000+0000,Needs Triage,,David Vega,David Vega,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,135 characters is too long.
Jira,78993,0,write ajax action ,,,Dev. Sub-task,Crucible,,2009-01-13T06:27:14.000+0000,2009-02-01T23:38:48.000+0000,Open,Medium,BrendanA,BrendanA,,,tetris,2.0-M2,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,18 characters is too short.
Jira,68644,0,Documentation for importing a certificate,"Create a page with clear instructions on importing a certificate. The content of this page will be included in more than one Crowd document.

Page for generic included content:
http://confluence.atlassian.com/display/CROWD/Importing+a+Digital+Certificate+onto+a+Crowd+Server


Once the page is ready, replace the existing content on the page below with an \{excerpt-include}:
http://confluence.atlassian.com/display/CROWD/Configuring+an+SSL+Certificate+for+Microsoft+Active+Directory
",,Task,Crowd,Documentation,2008-05-23T00:00:45.000+0000,2008-05-23T07:49:27.000+0000,Open,,SarahA,SarahA,,,,,David O'Flynn [Atlassian],,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,41 characters is in range.
Jira,33094,0,Thumbnail problem,"I get this error when trying to view the Thumbnail demo page: System does not support thumbnails: no JDK image support  and This installation can not generate thumbnails: no image support in Java runtime.

I followed the instructions given and changed the JAVA_OPTS variable as said to: JAVA_OPTS=-Djava.awt.headless=true nevertheless it won't display either.

I browsed many JIRA issue reports but found nothing else.

Any advice on how to solve this?

Standalone with Tomcat.
JDK 1.4.2_10
Linux cancana3 2.4.18-3 #1 Thu Apr 18 07:37:53 EDT 2002 i686 unknown
",2.1.1,Support Request,Confluence Server and Data Center,,2006-01-11T13:06:17.000+0000,2016-05-26T06:55:43.000+0000,Open,Medium,Javier Gallego,Javier Gallego,,,affects-server,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,17 characters is too short.
Jira,151397,0,Show the login screen when user attempts to create an issue and is not logged in,"When a potential user clicks on a link to create an issue and is not logged in, they see the following message:

Errors

You are not logged in, and do not have the permissions required to create an issue in this project as a guest.Test

To create an issue first log in

And the `log in` text is a link (but not underlined as links usually are).

Why doesn't this page just show a login required screen like /browse/[PROJECT] does? Or better yet, show the actual login with the os_destination set?

We've had some folks who misinterpret the error notice and think they can't create an issue, which then leads to unusual emails and error reports and sometimes angry/baffled users. All because the message is telling them something they don't understand. Why not just do the login redirect for them?",,Improvement,Jira Server and Data Center,UI / Usability,2011-10-12T21:13:14.000+0000,2015-06-25T08:10:24.000+0000,New,,Jared Farrish,Jared Farrish,,,ui-specialist,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,80 characters is too long.
Qt,322707,0,Inequality sign in Photoshop text layer isn't exported correctly,"In Photoshop text layer, ""<"" (UNICODE: E0E1) is exported to QML as "">"" (UNICODE: E0E0)

 

Reported by Umemura-san",QDS 2.1,Bug,Qt Design Studio,Qt-Bridge-Photoshop,2021-08-10T08:15:45.000+0000,2021-09-08T14:12:28.000+0000,Reported,Not Evaluated,Yasuhiko Uehara,Yasuhiko Uehara,,,,,Yasuhiko Uehara,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,64 characters is in range.
Qt,187366,0,looks like a bug: can never load qt jpeg plugin on windows mobile 6 ,"
QDir(path).entryList(QDir::Files) always returns empty string list on windows mobile 6,
which leads to failure of loading qt plugins .

I fixed it by enclosing these lines in #ifndef Q_OS_WINCE preprocessor directives.

qfilesystemiterator_win.cpp Ln#97 - Ln#100
------------------------------------------------------
if (QSysInfo::windowsVersion() >= QSysInfo::WV_WINDOWS7) {
            dwAdditionalFlags = 2;  // FIND_FIRST_EX_LARGE_FETCH
            infoLevel = 1 ;         // FindExInfoBasic;
}
------------------------------------------------------
these above lines will fail the following call on wince 6,

findFileHandle = FindFirstFileEx((const wchar_t *)nativePath.utf16(), FINDEX_INFO_LEVELS(infoLevel), &findData,
                                         FINDEX_SEARCH_OPS(searchOps), 0, dwAdditionalFlags);

according to MSDN, dwAdditionalFlags=2 is not supported on wince6, and findFileHandle will always get a INVALID_FILE_HANDLE.
",4.8.0,Suggestion,Qt,Core: Containers and Algorithms,2012-04-07T22:27:40.000+0000,2018-07-19T14:27:34.000+0000,Reported,Not Evaluated,zhanghanxi,zhanghanxi,,,,,João Abecasis,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,68 characters is in range.
Qt,283015,0,[REG 4.6.2=>4.9.2] Code completion in cmake project not working on Windows,"I cannot provide the whole project (it is big and not open source), but on Windows the code completion completely fails in a larger cmake project. 

Nothing happens in any of the files even in basic classes. It also does not work if the code is plainly written in the top of a file.
 !image-2019-08-22-10-55-08-353.png|thumbnail! 
 !image-2019-08-22-10-57-37-067.png|thumbnail! 

The code completes on Mac. It may be a settings issue, but removing the QtCreator ini-file didn't help. (I have not tried to remove settings on Mac).

",Qt Creator 4.10.0-rc1,Bug,Qt Creator,Editors,2019-08-22T09:04:00.000+0000,2020-03-04T14:14:49.000+0000,Reported,Not Evaluated,Thorbjørn Lund Martsum,Thorbjørn Lund Martsum,,,,,David Schulz,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,74 characters is too long.
Qt,206925,0,Different build configurations should remember different cmake arguments,"Currently the different build types share the same cmake argument setting in the project UI.

I checked that inside CMakeLists.txt.user separate keys (CMakeProjectManager.CMakeBuildConfiguration.UserArguments) are indeed defined for each configuration. However they are always kept the same by the project management.",Qt Creator 3.0.1,Bug,Qt Creator,Project & Build Management,2014-03-15T09:46:51.000+0000,2014-03-17T12:35:00.000+0000,Reported,Not Evaluated,Peng Wang,Peng Wang,,,,,Daniel Teske,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,72 characters is too long.
